Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Plasmacytoid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_44,0.177297688079137,0.449731708121506,0.0504486841898025,0,0.0644678858901292,0,0,0.00545132994009471,0.0317412604164026,0.00961355166601567,0,0.00908848489224827,0.00640389388926293,0.0146920221357484,0,0,0.0203295727231064,0.0059302213959112,0,0.154803696660636,0,0.766580900934977,0.65959452782719
P_45,0.630085181397369,0.119814875211145,0.0116489135339058,0,0.0494727451450074,0,0,0.0103002263663512,0.0226166796222486,0.00442663840627433,0,0.0239736719756807,0.0411470949462871,0.0258306303371473,0,0,0.0173394256581031,0.0197420148819383,0,0.0236019025185427,0,0.941480581852118,0.441797541479403
P_46,0.107433728342503,0.570337320616459,0.0326326879406315,0.00163211248209946,0.0582442311975309,0,0,0.0303372971247907,0,0,0,0.0125375200957428,0.0255657539042566,0.0555851570664955,3.96325695793525e-05,0,0.0155261046118981,0.0266974741623673,0,0.0634309798856454,0,0.763936927698689,0.657988931615378
P_47,0.54752270960598,0,0.0205913814822351,0.0157133287114738,0.0725323280133812,0,0,0.0214028494985216,0.00811316353271099,0,0,0.0314261711358178,0.0624373475386212,0.00895967476728538,0,0,0.0345740252370407,0.0665758295425534,0,0.110151190934379,0,0.4886543774132,0.87655029642469
P_48,0.218412799355569,0.0912003379125046,0.031905282493893,0.111105056246279,0.221575950133161,0.0153649897424671,0,0.119856902861302,0.0529031906099995,0,0.0180641275803159,0,0,0.0329601348539553,0,0,0.00969791805639565,0,0.0726406691179569,0.00431264103619995,0,0.178833086865928,1.06552877158537
P_49,0.358763149355042,0.122334914707599,0.0803417671881184,0.0148638221990555,0.082302831681311,0,0,0.033617938380769,0.0106348730534801,0.0241014021572416,0,0.0310568671881447,0.0338255052604919,0.0777391783231311,0,0,0.00044749055662676,0.0326246252243511,0,0.097345634724638,0,0.924187712963866,0.519618906387381
P_51,0.272435430613228,0.541953785669977,0.00593601991471967,0,0.0548556772252501,0,0,0.00993632304377808,0.00496054368666283,0.00219020090982161,0,0.0150611567993931,0.0139287993352297,0.0203284464355154,0,0,0.0136948345227352,0.00496745886144521,0,0.0397513229822434,0,0.772025886135835,0.640819171378253
P_52,0.280411602865087,0.376265917804904,0.00631890967854019,0,0.029863938464879,0.0149942729176234,0,0.0357087781435006,0,0.00633754139477755,0,0.0147791346955212,0.0311744348000145,0.0297425667479169,0,0,0.00684558103679404,0.0422866591101755,0.00191094583424176,0.123359716506024,0,0.807033569726465,0.621124251928967
P_53,0.566124391523896,0.114105496635928,0.0377074275016356,0,0.038544182336207,0,0,0.0260086663491255,0.00670899074861657,0,0,0.010324257651063,0.0148857126689421,0.066505097501417,0,0,0.0137035339673304,0.0239964947994277,0,0.0813857483164114,0,0.942002958443027,0.457208205983481
P_54,0.227287620066189,0.56007410907883,0.00948004664387639,0.044058035312121,0.0719032944270115,0,0,0.0168118271397555,0,0.00626823919170084,0.0125065514108381,0.0259472234775531,0,0,0.000257602428606247,0,0.0100607433644265,0.00300008147940595,0,0.0123446259796857,0,0.773786105524766,0.640546568259659
P_55,0.349882347722334,0.233016767369925,0.0158407466193878,0,0.0625829892380555,0,0,0.026016190284688,0,0.0195699205308025,0,0.0416584897557216,0.0551499473255477,0.043663544088063,0,0,0.0182906705534979,0.0430148877333073,0,0.0913134987786699,0,0.93424370681658,0.503677629012001
P_56,0.33704719029444,0.263982345834315,0.0600086754667455,0.00955419315319388,0.0248827519360423,0,0,0.0440854505150566,0,0.00223255074673498,0,0.105512883588125,0.031296774320084,0.0398042535528905,0,0,0.00533165315860337,0.00426259123047523,0,0.0719986862032937,0,0.784642538543994,0.651464469706858
P_57,0.291383757844626,0.321889452781258,0.040990204189083,0,0.0665594315181094,0,0,0.0434262699986139,0,0.0191488629917747,0,0.0352972354120938,0.0329153338745338,0.0252640328822795,0,0,0.00619326938241839,0.0043281462341367,0,0.112604002891073,0,0.786052196480284,0.646623212448654
P_58,0.37641040179619,0.403341827758907,0.0157520459244132,0.0745193751318706,0.0520969782419358,0,0,0.00356831724522486,0,0.0121788862010596,0,0,0,0.00413166360708207,0,0,0.0141558945054195,0.00481706670925114,0,0.0390275428786463,0,0.770663692303754,0.644588072068902
P_59,0.267800597622388,0.619927203954795,0,0,0.0125926095126599,0,0,0.0159346098048216,0,0.00464656555123588,0,0.0204777606868177,0.0211907421442643,0.00626036678883618,0,0.000470047835284047,0.00458339314227746,0.0168794174589993,0,0.00923668549762097,0,0.969053148455898,0.344004651795161
P_60,0.475766025814102,0.383032177290066,0.00546762961945997,0.000602175089682624,0.0506836146298745,0,0,0,0.00397277375203479,0.00494848883822445,0.00249570985700223,0.000952697985459087,0.000249836456076215,0.0192740601829612,0,0,0.0042550198062185,0.0207991049791202,0,0.0275006856997184,0,0.919635596260412,0.44361334092503
P_61,0.211408512530476,0.572964684022123,0.0238362207762281,0.00140899644928636,0.0396096854761097,0,0,0.0140326278639929,0,0.0124190519871523,0,0.0142813204790213,0.0200617527496446,0.0104455819577314,0,0,0.0114545034267269,0.00462763383877648,0,0.0634494284427308,0,0.848912802568032,0.555328509705638
