Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE,Absolute score (sig.score)
P_34,10.7132879285416,0.31296881972847,0.00498545555166149,0,0.442980144533332,0,0,0,0.0234519637669147,0,0,0,0.00813021863505279,0.219692332944953,0.0098685350762859,0,0.00925525085967943,0.405295488807964,2.64374769856593,0,0.312834488688923,0.949938331824083,14.7936638370119
P_35,4.19682334658327,1.91526513137845,0,0,0.0741847198732012,0,0.153396187947621,0,0,0,0,0,0.225288537977443,0.283676127007126,0,0,0.0435034302353906,2.95742457787713,1.16486578492342,0,0.410013154180187,1.07839596207816,11.0144278438031
P_36,8.9652787020502,2.19538588121076,0,0.00217228115249179,0.296759273477073,0,0.111836010174023,0.783724797475889,0,0,0,0,0.29328746531051,0.820555720774458,0.155242238040055,0,0,3.09308630394216,10.649156895153,0,0.533988403123531,0.845992966123553,27.3664855687606
P_37,19.7040140146543,8.49777880791066,0.270778711975119,0,1.20936071662284,0,0,0.611823679602964,0.20502004313099,0,0,0,0,0.523494085428645,0,0,0.0397703540314648,0.67989715034116,0.133030178237328,0,0.370320134780532,0.92970110754435,31.8749677419355
P_38,8.61554740852228,13.0974404725532,0,0,0.390929024113367,0,0.4167549441918,1.42203137810591,0,0.150365514665685,0,0,0.751845303174691,0.571019221255483,0.000348087804893716,0,0,4.30671422512493,2.11605705206667,0,0.584623194566052,0.811878568582349,31.8390526315789
P_39,10.717024308874,16.0545939239784,0,0,0.338031981342365,0,1.9258432581142,0,0.249898895680455,0,0,0,0.0593871975161568,1.0647822417477,0,0,0,0.778386864918337,4.54436372171633,0,0.450746839611709,0.903450091195114,35.7323123938879
P_40,21.9423001928215,1.32494336405719,0.884057760938888,0,1.04009631352826,0,0,0.96301708747437,0.189315364856289,0,0,0,0.235378285659269,1.31421369736388,0,0,0,1.65233523820776,4.03302520782607,0,0.394889872256647,0.920081219669673,33.5786825127334
P_42,8.54758451304615,13.6194949163131,0.184776089283324,0.277703387792195,0,0,0.97349174293944,1.67692231203284,0.0550663749240542,0.126751181446696,0,0,0.109193883470305,0.885666476687721,0.0256316076326476,0.287738181491858,0.0672265950259583,2.4229558929191,7.26134862767714,0,0.6000404173563,0.834024203400412,36.5215517826825
P_44,0.611482537740501,13.2802202021321,0.260813547350622,0,0.458778461628208,0.00357326612348178,0.849965003419761,0,0.00353790081459732,0.152611260464774,0,0,0.00507692060962806,0.680026086205807,0,0.000309114509499027,0,1.09719695342746,7.14992657239874,0,0.416432621735881,0.911504713346575,24.5535178268251
P_47,13.2842063977313,0.0395969374222011,0.0215708049333268,0,0,0,0.83095985367587,0.318299023192527,0,0.0177830342924372,0,0,0.266966188951019,0,0,0,0.352014751862617,11.6647409954583,7.72385522130894,0,0.168192122144225,1.44777613453914,34.5199932088285
P_48,11.2866797642619,1.72254945364298,0,0.732262828938964,0,0,10.4390338268018,0,4.61921374164417,0,0,0.800367427825277,0,0,0,1.52784301637899,2.16883252303183,0.347266073441947,0.986375792249544,0.0600000000000001,0.0224028153259576,1.03650841066286,34.6304244482173
P_49,8.98069920295845,5.20178017690528,1.86734586312121,0,0.935700976223722,0,0.689646535423229,1.04119880227496,1.00790638315466,0,0,0.367942694350145,0.503492687101186,2.44416400453085,0.00628113643143107,0,0,7.18097977567659,7.31304851906392,0,0.71030468234251,0.704146999070127,37.5401867572156
P_51,8.46495093234881,13.8293841016369,0,0.00343859388514564,0.648614973985707,0,1.22399229321448,0,1.08451255071937,0,0,0,0,0,0,0,0.530462407756546,0.288623548315885,0.905670852806117,0.0600000000000001,0.0234821604473826,1.04167686578298,26.9796502546689
P_52,14.8838055740624,5.71156468264665,0,0,0.270237246697314,0.367525126962943,0,0.45657773046967,0,0.0577797769425381,0,0,0.528678669615761,0.465582914907489,0,0,0.0513043558163871,0.189998848213844,2.67865644887718,0,0.0931223251359064,1.01900880875413,25.6617113752122
P_53,18.446431873503,2.86657794660891,0.0611316665504596,0,1.00548696191288,0,0,0.603935969900813,0,0,0,0,0.528105850153612,0.870260890934424,0,0,0,1.87170609329571,3.42125239060373,0,0.120949943229671,1.0224213228418,29.6748896434635
P_54,2.67250611994226,24.1269025372349,0,0.185504017241419,0.792709096727038,0,0.312544633810414,0,0.409375702683246,0,0,0,0.254616216561647,0,0,0,0.423863088624373,0.00331887334239263,0.572011156956275,0.04,0.0327964711965003,1.05379685793242,29.7533514431239
P_55,10.675089300261,4.5065778000712,0.293983411116694,0,0.540231094486551,0,0.111629521455415,1.14541040107416,0,0.0120628262854692,0,0.18642445978469,1.463075032222,0.831356641458669,0,0,0,0.838981967246729,2.9336359486121,0,0.0979515270312903,1.01530778707364,23.5384584040747
P_57,9.34569726150688,4.95676465935473,1.20462358008935,0,0.211434320979208,0,0,1.02980236413558,0,0,0,0.698841297200902,0.427612678724562,1.30539737759007,0,0,0.0628321835130841,0.594716239699749,5.01109976895461,0.04,0.0334499033993851,1.03170363618057,24.8488217317487
