""	Myo	Luminal	Naive B	Naive CD4+ T	Effector CD8+ T	CD8+ NKT-like	Plasmacytoid Dendritic	Macrophages	Basophils	Neutrophils	Plasma B	Myeloid Dendritic	CAF
CXCR4	3120.39382737312	4376.1313204492	1758420.79157646	1312452.97071562	1563719.26152186	1649872.08307249	330835.077323352	188284.759632638	37869.6257906769	199039.135914214	14933.8285850497	1405319.62841652	5095.97035844743
CD34	0.0126064334851749	2.71454954098058	0.032997878932392	1.16737061281207	16.625846057348	13.5422152148961	0.0118544006465069	0.0560377350291337	0	13.0072040270999	0.00519082988990789	0.129879818774484	859.936086687381
CDH5	42.4180824365327	12.8230180653429	0	12.4805221308929	0.504061530023001	0	0.0708682640195163	7.81279657197556	0.0189271505553919	0	0	0	57.8977439086299
ENG	342.17309089371	166.632071905195	117.606107972938	113.477338179006	455.097031101687	280.116492580036	1199.77372804354	2311.20925392472	1261.3177601704	0	0	497.760082855151	5653.95446356132
FLT1	0.323811370100898	0.516236397648784	21.2532274689683	5.06907012784886	3.82785405830388	10.4749411383672	90.739583890135	3.32527631348209	0	15.5664439613338	0	56.428251397621	2.55122179959355
FLT4	0	41.3154324645226	0	56.8687005619365	86.0651114716251	40.7576879202815	0	0.798987230275638	0	0	0	0	6.46210245643651
ICAM1	242.521676138863	25.8337829932835	2548.42116446492	1075.24595440658	2980.90329420909	2096.87178188377	10778.9392511358	10420.7566032852	20383.9402755273	5130.04234356377	119.023736426433	10715.5811459976	1925.4150106635
KDR	0.0827361188410112	4.28404793831746	0	9.36790065938984	0	9.22177540425577	0	0.062577426245225	0	2.5202413451422	0	0	38.7684058739741
MCAM	8.89535629676232	119.6983515801	0.0358720566083502	127.656238383227	386.001622906438	27.365239179914	7.24977877233622	3.79759878460165	0	0	1.47869283735137	0	2623.54746747673
PDPN	1180.64093739555	9.50259412598306	140.073366086973	0.0198183955698893	0.754949654710163	2.13034839365379	0	249.255942221372	0	0	0	0	1383.97890264687
PROM1	39.9884684094147	2522.52762496639	12.3415936168561	1.34634419428262	1.00892437896324	0.823595875140896	0	1.12877689202748	84.4809793871496	0	0	0	17.7852205898684
SELE	0	0	0	6.62959619755978	0	11.6770610832048	0	0	162.282211357212	0	0	0	0.0293276499028115
TEK	3.97547602193039	0.313274848622026	0	2.01392180728298	0.126509494355446	4.77810573200431	0.29109556692746	1.74264485725124	7.35613644204495	660.392729621901	0	0	53.3300276352717
VCAM1	10.3311665137494	19.9601863968825	0	31.0130723143434	0.00399181618718418	1134.80211878875	22.7592295353455	169.6492387965	0	0	0	252.97217615583	5013.12466100235
VWF	4.10539297507276	18.4544472498643	0	8.32815715180258	2.8281590668193	4.43062950468624	1.21533964180855	2.44636641024714	2.19387413141961	11.5778669743573	0	0	0.4199377575547
CA1	3.8334770105374	4.93577660834286	0	0	0.0062464175827411	0.0219487717432132	0	0	49.0731183039905	0	0.0344097371265275	0	0.310699435088677
GYPA	0	0.0170411248119515	0.0409892937347388	0	2.61603073212342	1.74255903765081	0	0	1.60586894957984	0	0	0	0.36580361559409
CD36	0.180079191326721	0.0198965079299531	0	0	46.9667431998519	6.25709466973641	519.190298567294	73.3097388646119	0	0.202625723349223	0.325234251486419	221.501871515355	1077.1448263609
FOLR1	4842.86726377882	7836.06846652627	0	185.212569173501	0	3.23920760479291	0	101.093257642517	0	0	0	51.4699999504337	26.5740211644582
HBB	0	0.121494102867889	0	0.0778366786293606	23.625300905378	0.108772858110097	21.0225806276586	0	108.143592359107	0	6.90789420213656	0	0.286912322524778
HBD	0	0	0.466550927188807	0.0713438523963396	9.36742206264417	0	0	0	0	0	0	0	0.0205894518362125
ITGA4	0.0273395104477326	0.00228730600367514	393.487749557743	871.408523382335	1285.46404937069	1321.30435302972	793.810936614648	870.241554319176	531.804222939749	15.178806392874	11.7823607723888	764.820431761716	79.3706225960982
RUVBL1	547.22911575646	388.951264666379	363.655642917896	687.35049258161	526.012708606918	605.193584345845	129.788638237638	108.675171281216	408.654632721411	0	58.6831649172317	0	268.504091761074
