lr_pair,cell_types,means,common_in_patients,direction
CXCL14-CXCR4,pan.iCAF pri-Macrophages pri,11.3244,5,CAF->immune
CXCL14-CXCR4,pan.iCAF pri-Myeloid Dendritic pri,11.377,5,CAF->immune
DHEAsulfate-bySULT2B-PPARD,pan.iCAF pri-Macrophages pri,2.3584,4,CAF->immune
Dihydrotestosterone-bySRD5A3-AR,Myeloid Dendritic pri-pan.iCAF pri,1.3676,5,immune->CAF
Dihydrotestosterone-bySRD5A3-AR,Myeloid Dendritic pri-pan.pCAF pri,1.55525,4,immune->CAF
EFNB1-EPHB2,pan.dCAF pri-Macrophages pri,1.2818,4,CAF->immune
EFNB1-EPHB2,pan.pCAF pri-Macrophages pri,2.16075,4,CAF->immune
FN1-integrin-a4b1-complex,pan.dCAF pri-Macrophages pri,6.0818,5,CAF->immune
FN1-integrin-a4b1-complex,pan.dCAF pri-Myeloid Dendritic pri,5.814,5,CAF->immune
FN1-integrin-a4b1-complex,pan.myCAF pri-Myeloid Dendritic pri,5.1248,5,CAF->immune
FN1-integrin-a4b1-complex,pan.pCAF pri-Macrophages pri,6.19875,4,CAF->immune
FN1-integrin-a4b1-complex,pan.pCAF pri-Myeloid Dendritic pri,6.0355,4,CAF->immune
FN1-integrin-a5b1-complex,pan.dCAF pri-Myeloid Dendritic pri,5.2124,5,CAF->immune
FN1-integrin-a5b1-complex,pan.pCAF pri-Myeloid Dendritic pri,5.65775,4,CAF->immune
GAS6-AXL,pan.dCAF pri-Myeloid Dendritic pri,5.0538,4,CAF->immune
GAS6-AXL,pan.pCAF pri-Myeloid Dendritic pri,5.70925,4,CAF->immune
GAS6-MERTK,pan.dCAF pri-Macrophages pri,4.9782,5,CAF->immune
GAS6-MERTK,pan.iCAF pri-Macrophages pri,4.9698,5,CAF->immune
GAS6-MERTK,pan.pCAF pri-Macrophages pri,5.20875,4,CAF->immune
HBEGF-EGFR,Myeloid Dendritic pri-pan.dCAF pri,2.8782,4,immune->CAF
HBEGF-EGFR,Myeloid Dendritic pri-pan.pCAF pri,3.44075,4,immune->CAF
HBEGF-ERBB2,Myeloid Dendritic pri-pan.dCAF pri,3.0706,4,immune->CAF
HBEGF-ERBB2,Myeloid Dendritic pri-pan.iCAF pri,3.0502,5,immune->CAF
HBEGF-ERBB2,Myeloid Dendritic pri-pan.pCAF pri,2.9705,4,immune->CAF
HEBP1-FPR3,pan.dCAF pri-Macrophages pri,3.7324,4,CAF->immune
HEBP1-FPR3,pan.dCAF pri-Myeloid Dendritic pri,2.92,4,CAF->immune
HEBP1-FPR3,pan.iCAF pri-Macrophages pri,3.9348,4,CAF->immune
HEBP1-FPR3,pan.iCAF pri-Myeloid Dendritic pri,3.413,5,CAF->immune
HEBP1-FPR3,pan.myCAF pri-Macrophages pri,4.1284,4,CAF->immune
HEBP1-FPR3,pan.myCAF pri-Myeloid Dendritic pri,3.6068,5,CAF->immune
HEBP1-FPR3,pan.pCAF pri-Macrophages pri,4.55725,4,CAF->immune
HEBP1-FPR3,pan.pCAF pri-Myeloid Dendritic pri,3.542,4,CAF->immune
HLA F-LILRB1,pan.dCAF pri-Macrophages pri,3.2468,4,CAF->immune
HLA F-LILRB1,pan.myCAF pri-Macrophages pri,4.0794,5,CAF->immune
HLA F-LILRB2,pan.dCAF pri-Macrophages pri,3.6308,4,CAF->immune
HLA F-LILRB2,pan.iCAF pri-Macrophages pri,3.3646,5,CAF->immune
HLA F-LILRB2,pan.myCAF pri-Macrophages pri,4.4632,5,CAF->immune
HLA F-LILRB2,pan.myCAF pri-Myeloid Dendritic pri,4.5384,5,CAF->immune
HLA F-LILRB2,pan.pCAF pri-Macrophages pri,3.7905,4,CAF->immune
HLA G-LILRB1,pan.dCAF pri-Macrophages pri,3.528,5,CAF->immune
HLA G-LILRB1,pan.iCAF pri-Macrophages pri,2.9996,5,CAF->immune
HLA G-LILRB1,pan.myCAF pri-Macrophages pri,3.9768,5,CAF->immune
HLA G-LILRB1,pan.myCAF pri-Myeloid Dendritic pri,4.0754,5,CAF->immune
HLA G-LILRB2,pan.dCAF pri-Macrophages pri,3.9124,5,CAF->immune
HLA G-LILRB2,pan.iCAF pri-Macrophages pri,3.384,5,CAF->immune
HLA G-LILRB2,pan.myCAF pri-Macrophages pri,4.3608,5,CAF->immune
HLA G-LILRB2,pan.myCAF pri-Myeloid Dendritic pri,4.4358,5,CAF->immune
HLA G-LILRB2,pan.pCAF pri-Macrophages pri,3.73475,4,CAF->immune
ICAM1-integrin-aMb2-complex,pan.dCAF pri-Macrophages pri,3.8416,5,CAF->immune
ICAM1-integrin-aMb2-complex,pan.dCAF pri-Myeloid Dendritic pri,3.3396,4,CAF->immune
ICAM1-integrin-aXb2-complex,pan.dCAF pri-Macrophages pri,3.9786,5,CAF->immune
ICAM1-integrin-aXb2-complex,pan.dCAF pri-Myeloid Dendritic pri,4.1302,4,CAF->immune
IGF1-IGF1R,Macrophages pri-pan.iCAF pri,2.627,4,immune->CAF
IL1B-IL1-receptor,Macrophages pri-pan.pCAF pri,5.466,4,immune->CAF
IL1B-IL1-receptor,Myeloid Dendritic pri-pan.pCAF pri,4.95675,4,immune->CAF
IL1RN-IL1-receptor,Macrophages pri-pan.pCAF pri,2.9525,4,immune->CAF
IL1RN-IL1-receptor,Myeloid Dendritic pri-pan.pCAF pri,2.97575,4,immune->CAF
